News#,Title Content, match,Score,Polarity
1,"JOHANNESBURG GOLD SHARES CLOSE MIXED TO FIRMER",gold, firmer,2,Positive
2,"FEEDER CATTLE FUTURES SET NEW HIGHS, TURN MIXED",,0,Neutral
3,"CBT CORN SPREADS",,0,Neutral
4,"TEXAS PANHANDLE/W OKLA FEEDLOT ROUNDUP - USDA",,0,Neutral
5,"MIDWEST GRAIN FUTURES 11:00 EDT",,0,Neutral
6,"VOLCKER PUSHES SPENDING CUTS OVER TRADE BILL",,0,Neutral
7,"MIDWEST GRAIN FUTURES 11:01 EDT",,0,Neutral
8,"CBT SOYBEAN SPREADS",,0,Neutral
9,"SIOUX FALLS CATTLE UP 0.50 DLR - USDA",falls,-1,Negative
10,"CBT SOYBEAN OIL SPREADS",,0,Neutral
11,"FLASH SIOUX FALLS HOGS UP 1.75 DLR - USDA",falls, hogs,-2,Negative
12,"CBT SOYBEAN MEAL SPREADS",,0,Neutral
13,"AMERICAN SPORTS ADVISORS &lt;PIKS> TO LIQUIDATE",,0,Neutral
14,"N.Y. COFFEE FUTURES SLIGHTLY HIGHER, THIN EARLY",,0,Neutral
15,"THATCHER FIRM AS PRESSURE MOUNTS FOR ELECTIONS",,0,Neutral
16,"PORTUGUESE AIRLINE CONFIRMS AIRBUS A310 ORDER",,0,Neutral
17,"FLASH ST PAUL HOGS UP 1.00/2.00 DLRS - USDA",hogs,-1,Negative
18,"VOLCKER SAYS RESTRICTIVE MONETARY POLICY WOULD HURT INVESTMENT",restrictive, hurt,-2,Negative
19,"WORLD SUGAR FUTURES TUMBLE IN EARLY TRADING",tumble,-1,Negative
20,"GOLD AND SILVER CLOSE OFF HIGHS IN ZURICH",gold,1,Positive
21,"SWEDEN'S ERICSSON WINS U.S. ORDER",wins,1,Positive
22,"FLASH OMAHA HOGS UP 1.00 DLR - USDA",hogs,-1,Negative
23,"CBT WHEAT FUTURES OPEN FIRMER, SET NEW HIGHS",firmer,1,Positive
24,"DOLLAR CLOSES LITTLE CHANGED IN FRANKFURT",,0,Neutral
25,"LIVE HOG FUTURES HIGHER EARLY",,0,Neutral
26,"MIDWEST GRAIN FUTURES 11:10 EDT",,0,Neutral
